step_time: 0:00:00.442648 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 1/813 4934

step_time: 0:00:00.408770 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 1/813 4966

step_time: 0:00:00.442020 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 1/813 5004

step_time: 0:00:00.960579 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 1/813 5038

step_time: 0:00:00.403078 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 1/813 5062

step_time: 0:00:00.422277 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 2.21 1.71 1.48 3/813 5086

step_time: 0:00:01.359227 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.73 1.63 1.45 1/809 5114

step_time: 0:00:02.009748 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.73 1.63 1.45 1/809 5136

step_time: 0:00:00.024389 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.73 1.63 1.45 3/809 5140

step_time: 0:00:01.455437 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.73 1.63 1.45 1/810 5173

step_time: 0:00:01.417671 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.75 1.63 1.46 1/811 5206

step_time: 0:00:01.702841 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.75 1.63 1.46 1/811 5244

step_time: 0:00:00.955214 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.75 1.63 1.46 1/811 5278

step_time: 0:00:01.572193 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.69 1.62 1.45 1/814 5305

step_time: 0:00:01.376170 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.69 1.62 1.45 1/814 5329

step_time: 0:00:01.384509 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.74 1.65 1.47 1/820 5379

step_time: 0:00:01.400413 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.74 1.65 1.47 1/820 5401

step_time: 0:00:00.024273 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.74 1.65 1.47 1/820 5405

step_time: 0:00:01.451251 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.76 1.66 1.48 1/818 5437

step_time: 0:00:01.616692 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.76 1.66 1.48 2/818 5469

step_time: 0:00:02.492023 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.76 1.66 1.48 1/817 5507

step_time: 0:00:00.912706 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.70 1.65 1.47 1/816 5541

step_time: 0:00:01.479113 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.70 1.65 1.47 1/816 5565

step_time: 0:00:01.398838 | archive_type: 7z | files_created: 5 | file_size: 1M | proc_load: 1.70 1.65 1.47 1/816 5589

step_time: 0:00:00.420942 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 1/821 5624

step_time: 0:00:00.443102 | archive_type: zip | files_created: 5 | file_size: 1M | proc_load: 1.24 1.55 1.45 2/821 5646

